value,primary_high_level_reason,events,churn_m1,metricname
11,all,3714,105,session_duration_seconds
12,all,3637,100,session_duration_seconds
13,all,3676,90,session_duration_seconds
14,all,3375,89,session_duration_seconds
15,all,3323,83,session_duration_seconds
16,all,3209,72,session_duration_seconds
17,all,3040,83,session_duration_seconds
18,all,2934,69,session_duration_seconds
19,all,2827,72,session_duration_seconds
20,all,2662,81,session_duration_seconds
21,all,2706,65,session_duration_seconds
22,all,2499,69,session_duration_seconds
23,all,2499,71,session_duration_seconds
24,all,2350,48,session_duration_seconds
25,all,2255,70,session_duration_seconds
26,all,2144,62,session_duration_seconds
27,all,2120,49,session_duration_seconds
28,all,2088,61,session_duration_seconds
29,all,1895,43,session_duration_seconds
30,all,1949,38,session_duration_seconds
31,all,1855,43,session_duration_seconds
32,all,1846,38,session_duration_seconds
33,all,1727,42,session_duration_seconds
34,all,1701,48,session_duration_seconds
35,all,1615,47,session_duration_seconds
36,all,1579,45,session_duration_seconds
37,all,1575,44,session_duration_seconds
38,all,1541,38,session_duration_seconds
39,all,1473,39,session_duration_seconds
40,all,1455,42,session_duration_seconds
41,all,1459,26,session_duration_seconds
42,all,1383,41,session_duration_seconds
43,all,1363,40,session_duration_seconds
44,all,1243,32,session_duration_seconds
45,all,1364,26,session_duration_seconds
46,all,1298,27,session_duration_seconds
47,all,1203,30,session_duration_seconds
48,all,1216,34,session_duration_seconds
49,all,1213,34,session_duration_seconds
50,all,1157,31,session_duration_seconds
51,all,1154,41,session_duration_seconds
52,all,1128,28,session_duration_seconds
53,all,1091,30,session_duration_seconds
54,all,1110,29,session_duration_seconds
55,all,1070,29,session_duration_seconds
56,all,1053,33,session_duration_seconds
57,all,1009,25,session_duration_seconds
58,all,1044,27,session_duration_seconds
59,all,964,15,session_duration_seconds
60,all,943,19,session_duration_seconds
61,all,917,20,session_duration_seconds
62,all,929,22,session_duration_seconds
63,all,846,27,session_duration_seconds
64,all,881,24,session_duration_seconds
65,all,873,17,session_duration_seconds
66,all,893,25,session_duration_seconds
67,all,827,15,session_duration_seconds
68,all,850,28,session_duration_seconds
69,all,790,13,session_duration_seconds
70,all,769,22,session_duration_seconds
71,all,727,27,session_duration_seconds
72,all,819,22,session_duration_seconds
73,all,814,17,session_duration_seconds
74,all,760,21,session_duration_seconds
75,all,716,26,session_duration_seconds
76,all,716,22,session_duration_seconds
77,all,747,14,session_duration_seconds
78,all,736,16,session_duration_seconds
79,all,722,19,session_duration_seconds
80,all,711,16,session_duration_seconds
81,all,710,17,session_duration_seconds
82,all,647,22,session_duration_seconds
83,all,669,12,session_duration_seconds
84,all,642,21,session_duration_seconds
85,all,680,17,session_duration_seconds
86,all,622,13,session_duration_seconds
87,all,669,20,session_duration_seconds
88,all,625,19,session_duration_seconds
89,all,613,8,session_duration_seconds
90,all,633,11,session_duration_seconds
91,all,601,17,session_duration_seconds
92,all,594,17,session_duration_seconds
93,all,588,16,session_duration_seconds
94,all,574,10,session_duration_seconds
95,all,580,13,session_duration_seconds
96,all,548,9,session_duration_seconds
97,all,602,18,session_duration_seconds
98,all,565,11,session_duration_seconds
99,all,604,14,session_duration_seconds
100,all,572,13,session_duration_seconds
101,all,512,10,session_duration_seconds
102,all,524,17,session_duration_seconds
103,all,568,22,session_duration_seconds
104,all,542,22,session_duration_seconds
105,all,514,8,session_duration_seconds
106,all,520,10,session_duration_seconds
107,all,521,10,session_duration_seconds
108,all,501,16,session_duration_seconds
109,all,504,8,session_duration_seconds
110,all,507,15,session_duration_seconds
111,all,520,14,session_duration_seconds
112,all,506,20,session_duration_seconds
113,all,497,13,session_duration_seconds
114,all,506,13,session_duration_seconds
115,all,488,9,session_duration_seconds
116,all,506,15,session_duration_seconds
117,all,498,8,session_duration_seconds
118,all,449,8,session_duration_seconds
119,all,472,10,session_duration_seconds
120,all,469,13,session_duration_seconds
121,all,445,14,session_duration_seconds
122,all,438,4,session_duration_seconds
123,all,463,12,session_duration_seconds
124,all,425,10,session_duration_seconds
125,all,406,11,session_duration_seconds
126,all,444,10,session_duration_seconds
127,all,420,10,session_duration_seconds
128,all,412,13,session_duration_seconds
129,all,413,12,session_duration_seconds
130,all,410,13,session_duration_seconds
131,all,435,14,session_duration_seconds
132,all,430,8,session_duration_seconds
133,all,380,10,session_duration_seconds
134,all,411,8,session_duration_seconds
135,all,377,8,session_duration_seconds
136,all,388,9,session_duration_seconds
137,all,417,7,session_duration_seconds
138,all,414,15,session_duration_seconds
139,all,370,12,session_duration_seconds
140,all,376,10,session_duration_seconds
141,all,365,11,session_duration_seconds
142,all,399,13,session_duration_seconds
143,all,371,9,session_duration_seconds
144,all,390,8,session_duration_seconds
145,all,374,6,session_duration_seconds
146,all,377,13,session_duration_seconds
147,all,355,12,session_duration_seconds
148,all,368,12,session_duration_seconds
149,all,373,7,session_duration_seconds
150,all,363,9,session_duration_seconds
151,all,353,5,session_duration_seconds
152,all,351,13,session_duration_seconds
153,all,307,8,session_duration_seconds
154,all,348,8,session_duration_seconds
155,all,341,10,session_duration_seconds
156,all,337,9,session_duration_seconds
157,all,317,12,session_duration_seconds
158,all,308,11,session_duration_seconds
159,all,319,7,session_duration_seconds
160,all,319,7,session_duration_seconds
161,all,341,8,session_duration_seconds
162,all,304,5,session_duration_seconds
163,all,325,2,session_duration_seconds
164,all,326,8,session_duration_seconds
165,all,302,10,session_duration_seconds
166,all,337,11,session_duration_seconds
167,all,302,9,session_duration_seconds
168,all,315,8,session_duration_seconds
169,all,313,7,session_duration_seconds
170,all,309,12,session_duration_seconds
171,all,294,9,session_duration_seconds
172,all,293,5,session_duration_seconds
173,all,314,5,session_duration_seconds
174,all,276,13,session_duration_seconds
175,all,292,7,session_duration_seconds
176,all,308,4,session_duration_seconds
177,all,315,8,session_duration_seconds
178,all,307,3,session_duration_seconds
179,all,308,10,session_duration_seconds
180,all,289,12,session_duration_seconds
181,all,270,8,session_duration_seconds
182,all,264,4,session_duration_seconds
183,all,307,8,session_duration_seconds
184,all,284,10,session_duration_seconds
185,all,280,6,session_duration_seconds
186,all,258,6,session_duration_seconds
187,all,260,3,session_duration_seconds
188,all,271,4,session_duration_seconds
189,all,265,4,session_duration_seconds
190,all,275,5,session_duration_seconds
191,all,244,8,session_duration_seconds
192,all,230,6,session_duration_seconds
193,all,244,6,session_duration_seconds
194,all,259,17,session_duration_seconds
195,all,248,3,session_duration_seconds
196,all,272,9,session_duration_seconds
197,all,263,8,session_duration_seconds
198,all,258,8,session_duration_seconds
199,all,254,6,session_duration_seconds
200,all,262,3,session_duration_seconds
201,all,274,10,session_duration_seconds
202,all,222,5,session_duration_seconds
203,all,238,6,session_duration_seconds
204,all,221,6,session_duration_seconds
205,all,250,6,session_duration_seconds
206,all,250,8,session_duration_seconds
207,all,256,6,session_duration_seconds
208,all,240,6,session_duration_seconds
209,all,260,6,session_duration_seconds
210,all,218,6,session_duration_seconds
211,all,255,9,session_duration_seconds
212,all,244,10,session_duration_seconds
213,all,212,2,session_duration_seconds
214,all,234,5,session_duration_seconds
215,all,221,4,session_duration_seconds
216,all,192,9,session_duration_seconds
217,all,230,7,session_duration_seconds
218,all,233,5,session_duration_seconds
219,all,218,6,session_duration_seconds
220,all,225,8,session_duration_seconds
221,all,245,1,session_duration_seconds
222,all,205,8,session_duration_seconds
223,all,211,3,session_duration_seconds
224,all,194,6,session_duration_seconds
225,all,229,9,session_duration_seconds
226,all,236,9,session_duration_seconds
227,all,225,1,session_duration_seconds
228,all,208,10,session_duration_seconds
229,all,222,5,session_duration_seconds
230,all,212,6,session_duration_seconds
231,all,223,7,session_duration_seconds
232,all,213,6,session_duration_seconds
233,all,205,13,session_duration_seconds
234,all,195,0,session_duration_seconds
235,all,200,4,session_duration_seconds
236,all,208,3,session_duration_seconds
237,all,176,5,session_duration_seconds
238,all,198,6,session_duration_seconds
239,all,212,7,session_duration_seconds
240,all,214,3,session_duration_seconds
241,all,205,5,session_duration_seconds
242,all,199,4,session_duration_seconds
243,all,195,7,session_duration_seconds
244,all,214,8,session_duration_seconds
245,all,211,4,session_duration_seconds
246,all,188,6,session_duration_seconds
247,all,184,1,session_duration_seconds
248,all,191,5,session_duration_seconds
249,all,204,1,session_duration_seconds
250,all,213,5,session_duration_seconds
